0,1,2,3,4,5,6,7,8
301378,通达海,1,-4,0.41,-0.95,0.78,-4.68,+展开明细
600829,人民同泰,1,1,0.13,0.13,0.13,0.13,+展开明细
600388,龙净环保,1,0,0.92,-0.32,0.92,-0.32,+展开明细
600169,太原重工,1,0,0.22,0.01,0.22,-0.06,+展开明细
300075,数字政通,1,-1,0.35,-0.71,0.35,-0.71,+展开明细
002019,亿帆医药,1,1,0.72,0.72,0.72,0.72,+展开明细
603132,金徽股份,1,0,0.08,0.00,0.49,0.00,+展开明细
300599,雄塑科技,1,-1,0.47,-0.73,0.47,-0.73,+展开明细
603919,金徽酒,1,0,3.61,-0.22,3.61,-0.22,+展开明细
002676,顺威股份,1,1,0.77,0.77,0.77,0.77,+展开明细
301378,通达海,1,-4,0.41,-0.95,0.78,-4.68,+展开明细
301071,力量钻石,1,1,1.04,1.04,2.07,2.07,+展开明细
001318,阳光乳业,1,1,0.14,0.14,0.50,0.50,+展开明细
002817,黄山胶囊,1,-1,0.52,-0.56,0.52,-0.56,+展开明细
300956,英力股份,1,-2,1.25,-1.24,2.72,-2.69,+展开明细
300162,雷曼光电,1,0,0.20,-0.21,0.24,-0.17,+展开明细
603093,南华期货,1,0,0.60,0.37,0.60,0.37,+展开明细
002848,高斯贝尔,1,-1,0.54,-0.84,0.54,-0.84,+展开明细
002580,圣阳股份,1,1,0.66,0.66,0.66,0.66,+展开明细
300958,建工修复,1,0,0.62,0.16,1.08,0.14,+展开明细
688513,苑东生物,1,0,2.17,-0.38,2.17,-0.38,+展开明细
002912,中新赛克,1,0,1.12,-0.32,1.12,-0.32,+展开明细
603677,奇精机械,1,-1,0.98,-0.92,0.98,-0.92,+展开明细
688266,泽璟制药,1,-1,3.06,0.78,3.06,-0.54,+展开明细
002415,海康威视,1,1,0.43,0.43,0.44,0.44,+展开明细
002017,东信和平,1,1,0.26,0.26,0.26,0.26,+展开明细
301263,泰恩康,1,0,1.16,0.30,1.84,0.47,+展开明细
300527,中船应急,1,0,0.31,-0.05,0.31,-0.05,+展开明细
301281,科源制药,1,-2,0.10,-0.92,0.40,-3.69,+展开明细
603679,华体科技,1,0,1.17,-0.21,1.17,-0.21,+展开明细
002532,天山铝业,1,0,1.55,0.00,1.55,0.00,+展开明细
688489,三未信安,1,-2,0.16,-1.42,0.36,-3.23,+展开明细
603967,中创物流,1,1,0.47,0.47,0.47,0.47,+展开明细
300558,贝达药业,1,-1,1.25,-1.07,1.25,-1.07,+展开明细
